dt,u0,u1,u2,u3,robot_current_state_x,y,z,qw,qx,qy,qz,Vx,Vy,Vz,x_next,y_next,z_next,qw_next,qx_next,qy_next,qz_next,Vx_next,Vy_next,Vz_next
92.256000000,-0.146136,0.0241976,-0.00331578,8.70688,-0.011591,-0.0587756,0.761869,0.999975,0.00121239,0.000401386,0.00690776,4.68015e-310,0,6.95296e-310,-0.0115231,-0.0586684,0.75637,0.999957,-0.00610264,0.00156094,0.00674619,0.00167963,0.00426939,-0.109993,
0.012000000,-0.149583,0.0244358,-0.00331411,8.70857,-0.0116297,-0.0597994,0.761513,0.999975,0.00131891,0.000390436,0.00690407,4.68015e-310,0,6.95296e-310,-0.0115624,-0.0596964,0.756022,0.999957,-0.00616852,0.00156076,0.0067427,0.00167052,0.00423476,-0.109823,
0.020000000,-0.185578,0.0259318,-0.00331644,8.73368,-0.011634,-0.0599691,0.761451,0.999975,0.00134454,0.000389926,0.00690496,-0.000614216,-0.0212355,-0.00765386,-0.0116265,-0.0619393,0.75532,0.999944,-0.00794307,0.0016226,0.0067442,0.0011043,-0.0154608,-0.114979,
0.028000000,-0.185578,0.0259318,-0.00331644,8.73368,-0.0116475,-0.0608165,0.760826,0.999975,0.00122218,0.000416994,0.00690983,4.68015e-310,0,6.95296e-310,-0.0116265,-0.0619393,0.75532,0.999944,-0.00794307,0.0016226,0.0067442,0.0011043,-0.0154608,-0.114979,
0.040000000,-0.15091,0.024226,-0.00331697,8.71195,-0.0116492,-0.0616593,0.758258,0.999976,-0.000331211,0.000647403,0.00689999,1.59922e-05,-0.0209953,-0.0769669,-0.0115782,-0.0607031,0.755352,0.999956,-0.00633152,0.00157631,0.00674842,0.00170629,0.00446293,-0.109486,
0.052000000,-0.131919,0.0151447,-0.0032997,9.27297,-0.0116312,-0.0626213,0.751581,0.999968,-0.00390105,0.00116476,0.00687017,0.00052048,-0.0194888,-0.160525,-0.011453,-0.0640035,0.732856,0.999921,-0.010502,0.00187598,0.00670977,0.00324949,-0.00611444,-0.213995,
0.048000000,-0.0809832,0.0069365,-0.003284,9.56632,-0.0115762,-0.0634188,0.741091,0.999943,-0.00800568,0.00171735,0.006838,0.00138944,-0.0153471,-0.235935,-0.0112689,-0.0640574,0.716287,0.999903,-0.0120572,0.00203514,0.00667793,0.00484932,0.00386845,-0.260165,
0.040000000,-0.0809832,0.0069365,-0.003284,9.56632,-0.0114644,-0.0639035,0.727799,0.999903,-0.0119824,0.00220624,0.00679268,0.00267848,-0.00801496,-0.288672,-0.0112689,-0.0640574,0.716287,0.999903,-0.0120572,0.00203514,0.00667793,0.00484932,0.00386845,-0.260165,
0.012000000,-0.0247645,-0.00153201,-0.00326193,9.79998,-0.0114388,-0.0639427,0.725387,0.999895,-0.0125662,0.00226624,0.00678384,4.68015e-310,0,6.95296e-310,-0.0109914,-0.0634889,0.698883,0.999888,-0.0132203,0.00211928,0.00663325,0.00675127,0.0167095,-0.289654,
0.040000000,0.0273889,-0.00873982,-0.0032332,9.97219,-0.0112772,-0.0639217,0.712762,0.999861,-0.0150205,0.00251332,0.00673385,0.00432486,0.0024281,-0.319855,-0.0106181,-0.0622252,0.681583,0.999883,-0.0136487,0.00208318,0.00657533,0.0087177,0.0310445,-0.303717,
0.048000000,0.071436,-0.0150816,-0.00319975,10.1945,-0.011008,-0.063381,0.695919,0.999831,-0.0169349,0.00271149,0.00666459,0.00602087,0.0142347,-0.364196,-0.010165,-0.0603511,0.661413,0.999888,-0.013359,0.00197861,0.00650767,0.010598,0.0451451,-0.325884,
0.040000000,0.100818,-0.0189552,-0.00316561,10.3077,-0.0106515,-0.0622116,0.677953,0.999826,-0.0172583,0.00266862,0.00659426,0.00790655,0.0278688,-0.372825,-0.00962779,-0.0578178,0.64315,0.999903,-0.0122122,0.0017515,0.00643883,0.012264,0.0582718,-0.323176,
0.012000000,0.0413982,-0.00309332,-0.00315454,9.13261,-0.010583,-0.0619506,0.675008,0.999828,-0.0171616,0.00263303,0.00658391,4.68015e-310,0,6.95296e-310,-0.0103568,-0.060445,0.671613,0.999862,-0.0150914,0.00248931,0.0064234,0.00448569,0.0294813,-0.0678865,
0.048000000,0.0413982,-0.00309332,-0.00315454,9.13261,-0.0102047,-0.0603697,0.660724,0.999846,-0.0161047,0.00238195,0.00653988,0.00973721,0.041729,-0.353346,-0.0103568,-0.060445,0.671613,0.999862,-0.0150914,0.00248931,0.0064234,0.00448569,0.0294813,-0.0678865,
0.040000000,0.114302,-0.0199306,-0.00313886,10.3275,-0.00977836,-0.0583995,0.646099,0.999872,-0.0144784,0.00208096,0.00649895,4.68015e-310,0,6.95296e-310,-0.00902762,-0.0547293,0.627972,0.999925,-0.0103841,0.00142039,0.00638529,0.0134867,0.0691077,-0.30163,
0.052000000,0.0053428,0.00329986,-0.00308654,9.36122,-0.00922153,-0.055633,0.627399,0.999903,-0.0122421,0.00172428,0.00644156,4.68015e-310,0,6.95296e-310,-0.00906226,-0.0544943,0.625158,0.999907,-0.0119763,0.00188909,0.00628477,0.00323796,0.0226908,-0.0448182,
0.040000000,-0.0160933,0.00690066,-0.00305954,9.44894,-0.00862689,-0.0524998,0.609093,0.999933,-0.00953302,0.0012631,0.00638494,4.68015e-310,0,6.95296e-310,-0.00850275,-0.0515728,0.607295,0.999926,-0.01034,0.00160152,0.00622969,0.00258815,0.0187937,-0.0359568,
0.048000000,-0.0160933,0.00690066,-0.00305954,9.44894,-0.00791742,-0.0485962,0.585746,0.999951,-0.00758823,0.00105705,0.00631965,0.012683,0.0705613,-0.429962,-0.00850275,-0.0515728,0.607295,0.999926,-0.01034,0.00160152,0.00622969,0.00258815,0.0187937,-0.0359568,
0.052000000,-0.0276662,0.00525343,-0.00300449,9.64891,-0.00740906,-0.0457217,0.567534,0.999956,-0.00694918,0.0011402,0.0062666,4.68015e-310,0,6.95296e-310,-0.00729536,-0.045006,0.56674,0.999946,-0.00833424,0.00139314,0.00611613,0.00235301,0.0147612,-0.0158848,
0.040000000,0.0918001,-0.0184918,-0.0029822,11.1094,-0.00689513,-0.0427894,0.549811,0.999962,-0.00597624,0.00108882,0.00621877,0.0128905,0.0735866,-0.430683,-0.00552138,-0.0349364,0.513254,0.999981,-0.00138078,0.000191912,0.00607013,0.014263,0.0817684,-0.30044,
0.048000000,0.0918001,-0.0184918,-0.0029822,11.1094,-0.00626879,-0.0392206,0.5308,0.999972,-0.00419232,0.000883184,0.00615357,0.0130606,0.0743233,-0.390391,-0.00552138,-0.0349364,0.513254,0.999981,-0.00138078,0.000191912,0.00607013,0.014263,0.0817684,-0.30044,
0.040000000,0.0799152,-0.0177175,-0.00295062,11.0726,-0.00564046,-0.0356755,0.514818,0.999979,-0.00224029,0.00058841,0.00608927,0.0130725,0.0735007,-0.30787,-0.00489869,-0.0314713,0.49809,0.999982,-0.000191327,2.13002e-05,0.00600617,0.0140324,0.0791832,-0.263807,
0.012000000,-0.0589348,0.00765676,-0.00291525,9.91297,-0.00553615,-0.0350922,0.512628,0.99998,-0.00183136,0.000520175,0.00607872,4.68015e-310,0,6.95296e-310,-0.00547422,-0.0348128,0.513159,0.999971,-0.00478043,0.000884823,0.00593376,0.00135344,0.00656246,0.0106131,
0.040000000,-0.0589348,0.00765676,-0.00291525,9.91297,-0.00502184,-0.0322386,0.503764,0.999982,0.000262991,0.000129265,0.00602628,0.0127701,0.0706646,-0.204163,-0.00547422,-0.0348128,0.513159,0.999971,-0.00478043,0.000884823,0.00593376,0.00135344,0.00656246,0.0106131,
